stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\filip\OneDrive\Dokumenty\GitHub\saper\PP2.PRO.1ID11A.BEDNARZ.BŁACH.BRZOZA\x64\Debug\allegro5.cfg r
display  D   display_settings.c:400  _al_score_display_settings       [   0.15371] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15382] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15392] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15401] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15412] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15421] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15429] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15438] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15448] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15458] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15468] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15479] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15488] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15499] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15508] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15517] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15527] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15536] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15547] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15557] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15567] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15576] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15586] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15596] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15604] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15614] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15625] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15633] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15641] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15652] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15681] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15704] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15716] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15725] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15735] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15744] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15754] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15762] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15773] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15787] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15797] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15813] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.15824] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15836] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15848] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15869] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15887] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15903] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15914] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15929] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15965] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15975] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.15985] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.15994] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16005] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16017] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16027] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16037] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.16049] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16059] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.16071] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16082] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16095] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16105] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16116] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16128] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16139] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16151] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16162] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16187] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16262] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16272] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16284] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16304] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.16327] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.16347] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16358] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16368] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16378] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16387] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16398] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.16407] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16416] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.16427] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16440] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.16450] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16462] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.16470] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16484] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.16496] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16515] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.16528] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16539] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.16548] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16558] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16567] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16576] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16586] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16597] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.16606] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16615] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.16625] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16634] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.16644] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16655] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.16664] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16676] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.16685] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16698] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.16708] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16718] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.16727] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16737] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16748] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16758] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16768] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16777] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.16787] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16796] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.16806] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16822] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.16831] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16843] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.16852] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16862] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.16873] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16883] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.16893] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16903] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.16913] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16925] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16935] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.16945] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.16957] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16967] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.16978] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.16988] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.16998] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17008] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.17017] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17030] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.17040] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17052] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.17062] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17078] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.17089] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17101] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.17113] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17124] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17134] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17144] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17152] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17161] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.17167] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17175] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.17182] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17192] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.17211] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17226] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.17237] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17247] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.17255] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17265] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.17274] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17285] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.17295] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17304] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17313] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17322] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17333] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17343] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.17352] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17362] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.17371] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17381] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.17392] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17404] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.17414] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17423] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.17432] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17443] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.17453] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17464] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.17473] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17482] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17491] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17503] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17514] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17523] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.17532] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17542] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.17551] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17562] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.17571] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17580] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.17590] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17601] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.17609] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17618] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.17627] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17636] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.17646] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17656] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17664] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.17673] Score is : 769
display  D   display_settings.c:214  debug_display_settings           [   0.17680] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17690] Score is : 598
display  D   display_settings.c:214  debug_display_settings           [   0.17699] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17709] Score is : 593
display  D   display_settings.c:214  debug_display_settings           [   0.17718] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17728] Score is : 589
display  D   display_settings.c:214  debug_display_settings           [   0.17736] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17744] Score is : 587
display  D   display_settings.c:214  debug_display_settings           [   0.17754] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17763] Score is : 586
display  D   display_settings.c:214  debug_display_settings           [   0.17773] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17782] Score is : 585
display  D   display_settings.c:214  debug_display_settings           [   0.17791] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.17800] Score is : 584
display  D   display_settings.c:214  debug_display_settings           [   0.17809] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17818] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17827] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17837] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17848] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17857] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17864] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17873] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17883] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17893] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17903] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17912] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17923] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17933] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17944] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17955] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17965] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.17975] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.17985] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.17995] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18004] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.18014] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18023] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18033] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18043] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18053] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18062] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18071] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18082] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18095] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18106] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18122] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18131] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18141] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.18149] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.18158] Single Buffer requirement not met.
